,Salary,Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Last Name,First Name,Position,Team,GP,G,A,A1,A2,PTS,+/-,E+/-,PIM,Shifts,TOI,TOIX,TOI/GP,TOI/GP.1,TOI%,IPP%,SH%,SV%,PDO,F/60,A/60,Pct%,Diff,Diff/60,iCF,iCF.1,iFF,iSF,iSF.1,iSF.2,ixG,iSCF,iRB,iRS,iDS,sDist,sDist.1,Pass,iHF,iHF.1,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,iGVA.1,iTKA.1,iBLK.1,BLK%,iFOW,iFOL,iFOW.1,iFOL.1,FO%,%FOT,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPEND,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,SCF,SCA,GF,GA,RBF,RBA,RSF,RSA,DSF,DSA,FOW,FOL,HF,HA,GVA,TKA,PENT,PEND,OPS,DPS,PS,OTOI,Grit,DAP,Pace,GS,GS/G
358,3500000,89-05-08,Windsor,ON,CAN,CAN,75,220,2008.0,5.0,148.0,L,Martin,Matt,LW/RW,TOR,82,5,4,2,2,9,0,-3.3,123,1117,43776,729.6,8.85,8.88,17.4,45.0,6.5,0.938,1003.0,1.64,1.81,47.6,-2,-0.16,112.0,113,95.0,65.0,66,66,7.3,26.0,6.0,3.0,9.0,31.5,29.2,58.9,300,299.0,108.0,191.0,30,13,16,26,13.0,16.0,26.0,3.8,0,11,0.0,11.0,0.0,1.7,0,1,0,6,0,4,0,8,0,2,0,5,0,1,0,0,0,0,0,0,0,2,2,0,1,0,0,3,27,5,2,0,26,8,0,25,34,21,28.0,13.0,-13,-16.0,19,13,0,2,0,596.0,678.0,445.0,493.0,307.0,352.0,26.1,29.8,80.0,95.0,20.0,22.0,14.0,24.0,27.0,26.0,41,50,324.0,316.0,597.0,463.0,106.0,81.0,65.0,48.0,-0.5,0.7,0.2,3460.79,462,16.6,104.8,7.0,0.09
359,2000000,87-01-08,Salt Lake City,UT,USA,USA,73,201,2006.0,1.0,17.0,R,Lewis,Trevor,C/RW/LW,L.A,82,12,12,8,4,24,-6,6.8,30,1567,70224,1168.4,14.27,14.26,25.3,66.7,6.6,0.9079999999999999,973.0,1.85,2.31,44.4,-9,-0.46,248.0,248,209.0,145.0,145,145,14.9,46.0,20.0,9.0,29.0,31.4,27.6,214.0,174,174.0,158.0,16.0,64,12,18,30,12.0,18.0,30.0,3.2,44,66,44.0,66.0,40.0,10.0,7,13,15,27,22,26,15,15,14,27,27,40,0,0,3,0,0,0,2,1,0,1,1,0,7,0,3,3,58,16,1,4,22,5,5,92,15,14,14.0,10.0,-1,-5.0,15,0,0,0,0,1031.0,951.0,781.0,691.0,547.0,487.0,44.2,44.5,137.0,146.0,36.0,45.0,47.0,33.0,47.0,46.0,94,79,572.0,523.0,612.0,575.0,147.0,72.0,59.0,65.0,0.7,1.5,2.2,3450.68,234,12.8,101.8,38.3,0.47
360,1200000,85-05-21,Warren,MI,USA,USA,71,200,2004.0,7.0,224.0,L,Hunwick,Matt,D,TOR,72,1,18,9,9,19,8,-0.3,18,1770,77667,1289.0,17.88,17.92,32.3,42.2,8.1,0.9229999999999999,1004.0,2.09,2.47,45.9,-8,-0.37,172.0,174,109.0,71.0,73,73,2.9,3.0,1.0,11.0,12.0,57.3,48.8,208.7,91,91.0,113.0,-22.0,38,44,26,90,44.0,26.0,90.0,6.6,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,35,1,0,27,30,1,0,14,8,6,10.0,3.0,-2,-1.6,8,0,0,0,0,1059.0,1367.0,803.0,1000.0,555.0,692.0,51.5,66.6,171.0,239.0,45.0,53.0,31.0,44.0,69.0,50.0,100,94,551.0,561.0,628.0,589.0,217.0,215.0,81.0,64.0,0.6,2.9,3.6,2706.94,199,14.6,112.9,20.7,0.29
361,3550000,79-09-26,Regina,SK,CAN,CAN,72,195,,,,L,Kunitz,Chris,LW,PIT,71,9,20,11,9,29,0,1.6,36,1511,66088,1099.9,15.52,15.51,27.5,63.0,7.4,0.9279999999999999,1002.0,2.51,2.29,52.3,4,0.22,220.0,220,174.0,134.0,134,134,15.2,56.0,16.0,8.0,24.0,28.5,26.0,241.9,216,216.0,114.0,102.0,40,28,25,28,28.0,25.0,28.0,2.7,3,10,3.0,10.0,23.1,1.2,0,2,0,3,3,5,0,3,3,2,2,9,0,1,3,1,0,0,1,0,0,3,0,0,5,0,1,4,35,12,0,13,26,5,0,78,18,12,18.0,8.0,-6,-5.6,18,0,0,0,0,1102.0,1021.0,814.0,754.0,625.0,587.0,58.7,51.5,193.0,163.0,46.0,42.0,52.0,45.0,44.0,50.0,96,95,503.0,578.0,497.0,536.0,149.0,126.0,65.0,56.0,1.1,0.8,1.9,2901.78,280,13.4,115.8,29.6,0.42
362,832500,94-05-30,Oakville,ON,CAN,CAN,73,190,2012.0,1.0,20.0,L,Laughton,Scott,C/LW,PHI,2,0,0,0,0,0,0,1.4,0,33,1229,20.3,10.25,10.22,22.4,0.0,11.1,0.667,778.0,5.91,5.91,50.0,0,0.0,5.0,5,4.0,4.0,4,4,0.7,3.0,1.0,1.0,2.0,30.5,29.7,0.0,3,3.0,2.0,1.0,0,0,1,0,0.0,1.0,0.0,0.0,11,9,11.0,9.0,55.0,83.3,5,3,1,3,5,3,6,4,1,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0.0,0.0,0,0.0,0,0,0,0,0,23.0,10.0,19.0,7.0,18.0,6.0,1.5,0.7,5.0,3.0,2.0,2.0,2.0,1.0,4.0,0.0,6,1,13.0,11.0,12.0,14.0,1.0,3.0,3.0,1.0,-0.1,0.0,0.0,70.55,3,0.0,97.5,1.0,0.49
363,767500,95-07-05,Langley,BC,CAN,CAN,73,185,2014.0,4.0,116.0,L,Heinen,Danton,C,BOS,8,0,0,0,0,0,-3,-0.5,2,129,6352,105.3,13.23,13.21,25.4,0.0,0.0,0.9329999999999999,933.0,0.0,1.71,0.0,-3,-1.71,12.0,12,11.0,7.0,7,7,0.6,3.0,0.0,1.0,1.0,46.6,38.1,0.0,6,6.0,2.0,4.0,4,2,5,2,2.0,5.0,2.0,2.4,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,1,0,2,1,0,1.0,0.0,-1,-0.8,1,0,0,0,0,104.0,82.0,69.0,64.0,46.0,45.0,3.8,3.5,12.0,10.0,0.0,3.0,1.0,3.0,2.0,3.0,3,6,64.0,48.0,40.0,30.0,17.0,14.0,10.0,4.0,-0.3,0.0,-0.3,309.27,10,11.0,106.0,0.6,0.08
364,875000,93-07-01,Orangeville,ON,CAN,CAN,75,215,2011.0,2.0,44.0,R,Ritchie,Brett,RW,DAL,78,16,8,4,4,24,11,4.1,38,1484,60355,1004.8,12.9,12.89,23.9,61.5,7.9,0.943,1022.0,2.33,1.43,61.9,15,0.9,312.0,312,235.0,167.0,167,167,17.3,66.0,10.0,20.0,30.0,28.2,26.5,108.8,153,153.0,79.0,74.0,68,26,15,23,26.0,15.0,23.0,2.7,1,1,1.0,1.0,50.0,0.2,0,0,0,0,1,1,0,0,1,1,1,0,0,3,2,0,0,0,2,0,0,0,2,0,12,0,4,6,58,23,0,5,21,11,4,103,16,11,17.0,11.0,-5,-3.4,14,2,0,0,0,1052.0,860.0,745.0,604.0,496.0,421.0,50.2,34.5,172.0,115.0,39.0,24.0,43.0,24.0,51.0,41.0,94,65,453.0,497.0,425.0,355.0,148.0,83.0,65.0,48.0,1.6,1.4,3.1,3190.73,216,12.0,114.2,33.4,0.43
365,6000000,92-07-31,Vancouver,BC,CAN,CAN,75,218,2010.0,1.0,4.0,R,Johansen,Ryan,C/RW,NSH,82,14,47,28,19,61,1,5.2,60,1998,92671,1541.3,18.83,18.82,32.0,67.8,9.4,0.904,999.0,3.5,2.49,58.4,26,1.01,276.0,276,219.0,154.0,154,154,15.7,54.0,11.0,10.0,21.0,28.2,26.1,501.2,77,77.0,66.0,11.0,65,51,38,28,51.0,38.0,28.0,2.3,803,669,803.0,669.0,54.6,89.6,233,184,255,237,315,248,191,155,306,257,518,449,0,0,3,2,0,0,0,0,1,3,2,0,8,0,3,11,51,7,0,16,21,7,2,101,27,11,26.0,11.0,-16,-9.3,25,2,0,0,0,1791.0,1208.0,1357.0,935.0,953.0,669.0,86.4,54.5,268.0,168.0,90.0,64.0,64.0,30.0,75.0,57.0,139,87,897.0,745.0,380.0,468.0,239.0,195.0,78.0,91.0,4.1,1.7,5.8,3272.5,167,4.6,116.7,68.5,0.84
366,6750000,79-07-02,London,ON,CAN,CAN,76,220,1997.0,1.0,1.0,L,Thornton,Joe,C,S.J,79,7,43,18,25,50,7,7.3,51,1835,85607,1424.7,18.08,18.06,31.7,58.8,10.1,0.915,1016.0,3.58,1.94,64.9,39,1.64,146.0,146,118.0,82.0,81,82,8.3,25.0,6.0,7.0,13.0,31.4,29.3,350.8,52,52.0,53.0,-1.0,37,74,64,31,74.0,62.0,31.0,2.8,375,362,374.0,360.0,50.9,47.3,91,95,133,111,151,155,106,97,137,125,217,224,0,0,0,3,0,1,0,0,0,0,1,0,5,1,1,4,31,6,2,17,5,4,0,47,16,14,13.0,17.0,-2,5.0,13,1,0,1,1,1722.0,1103.0,1242.0,787.0,845.0,542.0,84.3,49.2,281.0,149.0,85.0,46.0,63.0,27.0,52.0,79.0,115,106,807.0,744.0,394.0,425.0,343.0,189.0,78.0,74.0,2.2,2.1,4.3,3075.94,135,8.9,119.0,47.4,0.6
367,792500,96-02-02,Palos,IL,USA,USA,72,187,2014.0,2.0,58.0,L,Dvorak,Christian,C/LW,ARI,78,15,18,10,8,33,7,-9.7,22,1533,73086,1217.0,15.62,15.61,27.4,64.7,9.7,0.925,1022.0,2.51,2.47,50.5,1,0.05,164.0,164,139.0,88.0,88,88,11.1,49.0,13.0,6.0,19.0,22.4,23.8,156.1,72,72.0,98.0,-26.0,51,15,14,56,15.0,14.0,56.0,4.4,471,535,471.0,535.0,46.8,90.7,145,177,157,170,169,188,122,166,180,200,278,307,0,5,1,0,0,0,3,0,1,1,2,0,8,0,2,3,46,12,0,2,2,14,4,54,11,17,11.0,18.0,6,10.3,11,0,0,0,0,1050.0,1287.0,770.0,997.0,527.0,667.0,47.7,62.1,167.0,195.0,51.0,50.0,49.0,47.0,42.0,39.0,91,86,521.0,588.0,517.0,414.0,158.0,81.0,77.0,63.0,1.9,1.7,3.6,3220.83,150,7.8,115.2,21.0,0.27
